#[Semimajor Axis] from 2 to 4(AU), [Absolute Magnitude] under 9.7(mag) (equivalent to diameters D > 50km, assuming a visual geometric albedo of 0.09)
#object		ω(°)	Ω(°)	i(°)	e	q(AU)	a(AU)	M(°)	n(°/d)	Q(AU)	P(yrs)	H(mag)
(223) Rosa	61.8	47.9	1.9	0.12	2.74	3.10	309.5	0.181	3.45	5.45	9.7
(224) Oceana	284.3	352.8	5.8	0.04	2.53	2.65	1.5	0.229	2.76	4.30	8.6
(225) Henrietta	104.1	197.1	20.9	0.26	2.49	3.39	159.2	0.158	4.28	6.24	8.7
(227) Philosophia	267.0	326.3	9.2	0.19	2.56	3.16	71.3	0.175	3.77	5.63	9.1
(229) Adelinda	311.3	28.0	2.1	0.14	2.95	3.42	78.0	0.156	3.90	6.33	9.1
(23) Thalia	60.7	66.9	10.1	0.24	2.01	2.62	104.0	0.232	3.24	4.25	7.0
(230) Athamantis	139.0	239.9	9.4	0.06	2.24	2.38	62.7	0.268	2.53	3.68	7.3
(231) Vindobona	268.6	350.5	5.1	0.15	2.48	2.92	12.6	0.197	3.36	5.00	9.6
(233) Asterope	125.1	222.0	7.7	0.10	2.39	2.66	138.8	0.227	2.93	4.34	8.2
(234) Barbara	192.3	144.6	15.4	0.25	1.80	2.39	16.9	0.268	2.97	3.68	9.0
(235) Carolina	209.3	66.0	9.0	0.06	2.70	2.88	178.1	0.202	3.06	4.89	8.9
(236) Honoria	174.9	185.9	7.7	0.19	2.27	2.80	294.6	0.211	3.33	4.68	8.2
(237) Coelestina	199.1	84.3	9.7	0.07	2.57	2.76	253.4	0.214	2.96	4.60	9.2
(238) Hypatia	210.7	183.9	12.4	0.09	2.65	2.91	170.0	0.199	3.17	4.96	8.2
(24) Themis	106.9	35.9	0.8	0.13	2.74	3.14	177.9	0.177	3.53	5.56	7.1
(240) Vanadis	300.1	115.2	2.1	0.21	2.12	2.67	15.3	0.227	3.21	4.35	9.0
(241) Germania	80.6	270.4	5.5	0.10	2.74	3.05	278.0	0.185	3.36	5.32	7.6
(242) Kriemhild	279.8	206.9	11.4	0.12	2.52	2.86	351.0	0.204	3.20	4.84	9.3
(245) Vera	329.7	61.3	5.2	0.19	2.50	3.11	120.9	0.180	3.71	5.47	7.8
(246) Asporina	96.6	162.3	15.6	0.11	2.40	2.69	172.4	0.223	2.99	4.42	8.6
(247) Eukrate	55.0	0.2	25.0	0.24	2.08	2.74	76.0	0.217	3.41	4.54	8.0
(25) Phocaea	90.2	214.1	21.6	0.25	1.79	2.40	268.0	0.265	3.01	3.72	7.8
(250) Bettina	76.7	23.9	12.8	0.13	2.73	3.15	56.9	0.176	3.57	5.59	7.6
(252) Clementina	155.9	202.0	10.0	0.07	2.94	3.16	131.2	0.176	3.38	5.62	9.7
(257) Silesia	27.6	34.4	3.6	0.11	2.77	3.12	30.6	0.179	3.47	5.51	9.5
(258) Tyche	155.0	207.6	14.3	0.20	2.08	2.62	158.0	0.233	3.15	4.23	8.5
(259) Aletheia	168.0	86.9	10.8	0.13	2.73	3.13	142.3	0.178	3.54	5.55	7.8
(26) Proserpina	194.1	45.8	3.6	0.09	2.41	2.65	237.2	0.228	2.89	4.32	7.5
(260) Huberta	181.0	165.4	6.4	0.12	3.05	3.44	110.6	0.154	3.84	6.39	9.0
(261) Prymno	65.9	96.6	3.6	0.09	2.12	2.33	35.8	0.277	2.54	3.56	9.4
(264) Libussa	340.9	49.6	10.4	0.14	2.41	2.80	254.9	0.211	3.18	4.68	8.4
(266) Aline	150.5	235.9	13.4	0.16	2.37	2.80	53.2	0.210	3.24	4.70	8.8
(268) Adorea	69.6	120.9	2.4	0.14	2.67	3.09	302.3	0.181	3.51	5.44	8.3
(269) Justitia	119.6	156.8	5.5	0.21	2.06	2.62	219.6	0.233	3.17	4.23	9.7
(27) Euterpe	356.7	94.8	1.6	0.17	1.94	2.35	60.9	0.274	2.75	3.60	7.0
(270) Anahita	80.5	254.4	2.4	0.15	1.87	2.20	219.3	0.302	2.53	3.26	8.8
(275) Sapientia	40.1	134.1	4.8	0.16	2.32	2.77	301.0	0.214	3.22	4.61	8.8
(276) Adelheid	265.3	211.2	21.6	0.07	2.91	3.12	204.9	0.179	3.33	5.50	8.6
(278) Paulina	139.5	62.0	7.8	0.13	2.39	2.76	44.9	0.216	3.12	4.57	9.5
(28) Bellona	344.4	144.3	9.4	0.15	2.35	2.78	59.9	0.213	3.20	4.63	7.1
(283) Emma	53.7	304.4	8.0	0.15	2.60	3.05	127.1	0.185	3.50	5.32	8.7
(286) Iclea	213.5	149.1	17.9	0.03	3.10	3.19	49.4	0.173	3.29	5.71	9.0
(287) Nephthys	121.0	142.4	10.0	0.02	2.30	2.35	125.7	0.273	2.41	3.61	8.3
(289) Nenetta	189.2	182.1	6.7	0.20	2.29	2.87	104.3	0.202	3.46	4.87	9.5
(29) Amphitrite	62.0	356.4	6.1	0.07	2.37	2.55	44.2	0.241	2.74	4.08	5.8
(297) Caecilia	354.1	332.1	7.6	0.14	2.71	3.16	116.8	0.175	3.61	5.63	9.1
(3) Juno	248.2	169.9	13.0	0.26	1.98	2.67	168.7	0.226	3.35	4.36	5.3
(30) Urania	87.0	307.6	2.1	0.13	2.07	2.37	118.6	0.271	2.67	3.64	7.6
(303) Josephina	64.1	344.0	6.9	0.06	2.93	3.12	357.2	0.179	3.32	5.52	8.9
(305) Gordonia	261.3	207.5	4.4	0.19	2.50	3.09	43.1	0.181	3.69	5.44	8.8
(306) Unitas	168.0	141.9	7.3	0.15	2.00	2.36	89.0	0.272	2.71	3.62	9.0
(308) Polyxo	115.5	181.7	4.4	0.04	2.64	2.75	70.4	0.216	2.86	4.56	8.2
(31) Euphrosyne	61.4	31.1	26.3	0.22	2.46	3.16	271.4	0.176	3.86	5.61	6.7
(312) Pierretta	262.6	6.3	9.0	0.16	2.34	2.78	42.6	0.212	3.23	4.64	8.9
(313) Chaldaea	316.0	176.6	11.7	0.18	1.95	2.38	262.3	0.269	2.81	3.66	8.9
(318) Magdalena	296.7	161.5	10.7	0.09	2.92	3.19	158.5	0.173	3.46	5.71	9.4
(32) Pomona	339.2	220.4	5.5	0.08	2.38	2.59	155.5	0.237	2.80	4.16	7.6
(322) Phaeo	115.1	252.4	8.1	0.25	2.10	2.78	342.9	0.212	3.47	4.64	9.0
(324) Bamberga	44.2	327.9	11.1	0.34	1.77	2.68	225.4	0.224	3.59	4.39	6.8
(325) Heidelberga	68.6	344.9	8.6	0.16	2.70	3.21	7.2	0.171	3.72	5.75	8.7
(326) Tamara	238.5	32.2	23.7	0.19	1.88	2.32	26.2	0.279	2.76	3.53	9.4
(328) Gudrun	103.9	352.3	16.1	0.11	2.78	3.11	325.2	0.180	3.44	5.49	8.9
(329) Svea	55.0	178.5	15.9	0.03	2.41	2.48	283.5	0.253	2.54	3.90	9.7
(33) Polyhymnia	338.2	8.6	1.9	0.34	1.91	2.87	140.0	0.203	3.83	4.86	8.6
(331) Etheridgea	333.1	22.0	6.1	0.10	2.72	3.02	88.5	0.187	3.33	5.26	9.6
(332) Siri	296.5	31.6	2.8	0.09	2.53	2.77	186.3	0.213	3.02	4.62	9.7
(333) Badenia	20.2	353.6	3.8	0.16	2.63	3.13	134.0	0.178	3.64	5.55	9.5
(334) Chicago	148.3	130.2	4.6	0.02	3.81	3.90	110.2	0.128	3.98	7.69	7.7
(335) Roberta	140.0	148.5	5.1	0.17	2.05	2.48	355.5	0.253	2.90	3.89	9.0
(337) Devosa	98.6	355.5	7.9	0.14	2.06	2.38	169.7	0.268	2.71	3.68	8.7
(338) Budrosa	111.9	287.4	6.0	0.02	2.85	2.91	301.2	0.198	2.98	4.97	8.5
(339) Dorothea	164.4	173.5	10.0	0.10	2.72	3.01	271.6	0.189	3.30	5.23	9.2
(34) Circe	330.6	184.4	5.5	0.10	2.41	2.69	263.1	0.224	2.97	4.41	8.5
(344) Desiderata	237.4	48.0	18.3	0.31	1.78	2.60	301.2	0.235	3.41	4.19	8.1
(345) Tercidina	230.3	212.6	9.7	0.06	2.18	2.33	288.7	0.278	2.47	3.55	8.7
(346) Hermentaria	292.0	92.0	8.7	0.10	2.51	2.80	188.7	0.211	3.08	4.68	7.1
(347) Pariana	86.3	85.5	11.7	0.17	2.18	2.61	8.0	0.234	3.05	4.22	9.0
(348) May	13.4	90.0	9.7	0.07	2.77	2.97	21.8	0.193	3.17	5.12	9.5
(349) Dembowska	346.2	32.4	8.2	0.09	2.66	2.92	306.9	0.197	3.19	5.00	5.9
(35) Leukothea	213.2	353.7	7.9	0.23	2.32	2.99	25.1	0.190	3.67	5.18	8.6
(350) Ornamenta	338.3	90.1	24.9	0.16	2.61	3.11	177.1	0.180	3.60	5.48	8.4
(351) Yrsa	31.6	99.3	9.2	0.15	2.35	2.77	279.8	0.214	3.19	4.60	9.0
(354) Eleonora	5.5	140.4	18.4	0.11	2.48	2.80	123.8	0.211	3.12	4.68	6.4
(356) Liguria	78.6	354.8	8.2	0.24	2.10	2.76	29.0	0.215	3.41	4.58	8.2
(357) Ninina	254.2	137.8	15.1	0.07	2.92	3.16	144.3	0.176	3.39	5.61	8.7
(358) Apollonia	253.3	172.2	3.6	0.15	2.44	2.88	179.3	0.202	3.31	4.88	9.2
(359) Georgia	338.5	6.1	6.8	0.16	2.30	2.73	324.0	0.219	3.16	4.51	8.9
(36) Atalante	47.1	358.4	18.4	0.30	1.92	2.75	84.3	0.216	3.58	4.56	8.5
(360) Carlova	287.9	132.6	11.7	0.18	2.47	3.00	350.5	0.189	3.54	5.20	8.5
(361) Bononia	68.4	18.9	12.6	0.21	3.11	3.96	329.2	0.125	4.81	7.88	8.2
(362) Havnia	29.7	27.3	8.1	0.04	2.47	2.58	42.6	0.238	2.69	4.14	9.0
(363) Padua	295.5	64.8	5.9	0.07	2.56	2.75	193.8	0.216	2.94	4.56	9.0
(365) Corduba	216.5	185.2	12.8	0.16	2.36	2.80	233.8	0.210	3.24	4.69	9.2
